epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3410.08,1.49954,1.67481,1.46444,0,0,0,0,3.39657,6.26045,3.33326,0.00999895,0.00333298,0.00999895,0.00333298,0.00999895,0.00333298,0.00999895,0.00333298
2,7057.46,1.64248,1.76184,1.58247,0,0,0,0,3.42411,6.86485,3.82107,0.019603,0.00653432,0.019603,0.00653432,0.019603,0.00653432,0.019603,0.00653432
3,10702.2,1.64794,1.73174,1.60666,0,0,0,0,3.40819,7.241,3.69133,0.028811,0.00960366,0.028811,0.00960366,0.028811,0.00960366,0.028811,0.00960366
4,14377.6,1.54202,1.52676,1.53888,0,0,0,0,3.38588,7.30698,3.2877,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,17944.3,1.38366,1.24336,1.41568,0,0,0,0,3.48402,7.3743,3.36757,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,22430.8,1.29091,1.09985,1.35124,0,0,0,0,3.52346,7.49181,3.37793,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,25682.2,1.22638,0.99888,1.30327,0,0,0,0,3.57625,7.51122,3.37228,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,29471.1,1.17757,0.93794,1.27376,0,0,0,0,3.55428,7.55521,3.3811,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,32159.5,1.14139,0.87745,1.24178,0,0,0,0,3.54553,7.60984,3.39896,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,34825.7,1.09873,0.83793,1.21421,0,0,0,0,3.50988,7.66317,3.41717,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,37400.5,1.07389,0.79387,1.19812,0,0,0,0,3.48421,7.7252,3.41244,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,40175.7,1.03973,0.76874,1.17724,0,0,0,0,3.39788,7.78544,3.36927,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,43040.4,1.01696,0.73129,1.16073,0,0,0,0,3.27195,7.81286,3.30841,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,45854.7,0.99831,0.71471,1.15068,0,0,0,0,3.27228,7.74816,3.31011,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,48434,0.97862,0.69587,1.13461,0,0,0,0,3.30505,7.86445,3.35265,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,51060.6,0.95838,0.67721,1.12222,0,0,0,0,3.60344,7.71748,3.71592,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,53891.1,0.93966,0.65266,1.1091,0,0,0,0,3.61318,7.68661,3.73441,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,56702.5,0.92669,0.64223,1.10019,0,0,0,0,3.53408,7.74641,3.60562,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,59519.9,0.9043,0.6205,1.08762,0,0,0,0,3.49473,7.8947,3.51381,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,62209.8,0.8887,0.60048,1.08145,0,0,0,0,3.43463,7.97834,3.41286,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,65004.7,0.86695,0.58712,1.06923,0,0,0,0,3.46042,8.00173,3.39508,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,68125.8,0.85575,0.57405,1.05767,0,0,0,0,3.53833,7.92715,3.41982,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,71354.9,0.84279,0.55871,1.04972,0,0,0,0,3.5452,7.98876,3.41882,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,74570.9,0.82089,0.54404,1.03862,0,0,0,0,3.54264,7.92863,3.42777,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,77859.6,0.8023,0.52532,1.02878,0,0,0,0,3.53161,7.83193,3.4502,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,81034.3,0.77988,0.51072,1.01917,0,0,0,0,3.59715,7.89653,3.52733,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,84162.4,0.77165,0.49812,1.01122,0,0,0,0,3.64159,7.86051,3.54289,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,87294.8,0.75345,0.48278,1.00072,0,0,0,0,3.68575,7.76661,3.52805,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,90457.5,0.73527,0.46745,0.99161,0,0,0,0,3.64733,7.75505,3.53622,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,93592.1,0.71764,0.45743,0.98261,0,0,0,0,3.56076,7.70045,3.47425,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,96668.5,0.70387,0.44247,0.97354,0,0,0,0,3.53644,7.65196,3.48721,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,99745.9,0.68368,0.42729,0.96666,0,0,0,0,3.53128,7.66231,3.47217,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,102876,0.66218,0.4098,0.95277,0,0,0,0,3.52663,7.84917,3.50204,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,106197,0.64809,0.39573,0.94377,0,0,0,0,3.53252,7.93059,3.53728,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
